ticker,call_date,fiscal_year,fiscal_quarter,regime_label,demand_trend,pricing_power,incentives,cancellations,backlog,traffic_leads,affordability,build_cycle_times,labor_material_costs,land_lots,guidance_bias,visibility_confidence,key_changes,supporting_quotes
B,,2023,1,early_recovery,improving,stable,stable,deteriorating,stable,improving,improving,improving,improving,stable,reaffirm,medium,"[""Early-quarter demand weaker than expected; January sales pace more than doubled vs Q1 monthly pace."", ""Traffic improved meaningfully starting in December as mortgage rates drifted lower."", ""Cancellations stepped up to ~14% of beginning backlog vs 5%-10% prior quarters."", ""Cycle times improving (recouped ~30 days; targeting additional improvement), aiding backlog conversion and to-be-built selling confidence."", ""Construction cost relief expected later (4Q weighted benefit); lumber and other categories moving down on newer starts; potential labor excess as industry starts slow."", ""Pricing/incentives managed cautiously; removed some special incentives in some communities; competing as needed community-by-community."", ""Land posture: re-underwriting/renegotiating pending deals; some price reductions/term changes achieved; minimal walk-away disclosed; confidence in community count growth through FY23 and accelerating FY24.""]","[{""quote"": ""“the new home sales and cancellation environment proved to be even more difficult than we had anticipated.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“more recent traffic and sales results have been much improved.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“In December…we started to see a nice uptick in online and in-person visits.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“This translated into a January sales pace more than double our first quarter results.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“our first quarter cancellation rate was about 14%… higher than the 5% to 10% we had experienced”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“the wage growth, home price reductions, and rate relief… are gradually improving affordability.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“Our efforts to recoup at least 30 days… have been successful”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“we are now looking to recoup additional time above and beyond the initial goal.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“We expect meaningful improvements in construction costs to materialize in the fourth quarter”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“we continue to reunderwrite land deals using lower home prices, slower sales paces and higher mortgage rates.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“we have had the ability to remove some of the special incentives”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“our bias is to slowly ramp the sales pace rather than dramatically go chase the sales pace.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“we did walk away from one deal in the quarter… $150,000 abandonment charge”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“we've been able to renegotiate prices downward by millions of dollars.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“as starts volumes are down as an industry, there'll be some excess labor out there”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}]"
B,,2024,1,reacceleration,improving,stable,improving,unclear,unclear,unclear,deteriorating,improving,stable,improving,raise,medium,"[""Demand improved meaningfully in December as rates declined; optimism into spring selling season."", ""Incentive mix shifting/falling: reduced buydown dollars in January; some base price clawback."", ""Gross margin expected to trough in 2Q/early 2H then recover as higher-incentive deliveries clear and cycle times improve."", ""Significant cycle-time improvement (~70 days YoY), with further improvement targeted."", ""Land investment accelerating to drive community-count growth; optioned lot mix maintained (~53%)."", ""Affordability remains a key constraint; management frames outcomes heavily dependent on mortgage-rate path.""]","[{""quote"": ""\""we experienced a meaningful improvement in demand, particularly in December\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""Against a challenging affordability backdrop\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""the biggest factor remains affordability, and more specifically, mortgage rates\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""we definitely saw an ability to reduce the dollar value associated with those buy-downs\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""been able to claw back bits and pieces on base price\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""margins to recover over the back half of the year\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""as improved cycle times allow us to deliver more homes with lower incentives\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""about 70 days of cycle time improved\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""It's been relatively benign overall\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""Land is still the primary use of our cash flow\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""Our land spend in the quarter was almost $200 million, up 73% year-over-year\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""Our diluted earnings per share would be at least $4.50\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}]"
B,,2025,1,late_cycle_slowdown,deteriorating,deteriorating,deteriorating,unclear,stable,stable,deteriorating,stable,improving,improving,cut,medium,"[""Sales environment softened materially in December (notably TX/FL) amid higher inventory and aggressive competitor incentives."", ""Incentive/discount pressure rose into late Q1 (esp. specs), with management estimating ~1 point of margin pressure over ~4 months."", ""Affordability remains the key challenge; company not assuming market/rate improvement in outlook."", ""Some Q1 closings deferred due to utility hookups, labor availability in Houston, and meter availability in California; expected to close in spring."", ""Build-cost reductions underway (~$3k per home since Oct 1) and broader cost actions (SKU rationalization, rebids)."", ""Community count and lot pipeline expanding (communities +~20% YoY; active lots +~10%; optioned lots rising to 59%)."", ""FY25 gross margin expectation moves to low end (~19.5%) after Q1 pressure; pace/margin likely toward low end of prior ranges.""]","[{""quote"": ""Strength we experienced in October... softened in November and became materially weaker in December."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""In Texas and Florida, where higher inventory levels led to sluggish sales and more aggressive incentives."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We sold fewer homes and had to spend more on incentives for the sales we made."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""In November and then... into December... price discounts and incentives... spiked."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""There's been about 1 point of pressure over the last... four months..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""Homebuyer affordability is likely to remain the key challenge throughout the year..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Online traffic stayed pretty strong through December even as sales were more challenging."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""We had to push out 47 closings... utility issues, labor availability in Houston and meter availability in California."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Since October 1st, we've been able to reduce build costs by about $3,000 so far..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Our ending community count was up nearly 20% versus the prior year..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We also grew our active lot position by about 10%..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""59% of our lot position is now controlled through options, up from 53% last year."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We now expect full year margins around 19.5%."", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}]"
B,,2023,2,reacceleration,improving,stable,unclear,improving,stable,unclear,stable,improving,improving,stable,raise,medium,"[""Sales pace rebounded sharply into spring (vs Q1)"", ""Cancellations normalized/lower vs prior quarter spike"", ""Cycle times improved materially (recaptured ~90 days)"", ""Direct construction costs began to decline; more benefit expected in Q4"", ""FY23 earnings outlook increased (EPS expectation ~ $4) amid stable ASP guidance""]","[{""quote"": ""“a strong start to the spring selling season enabled us to more than double the pace we saw in the first quarter.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“I was a bit surprised by the strength of demand during the quarter.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“affordability remains quite challenging.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“with home prices modestly lower and incentives somewhat higher than this time last year… [there’s] an improvement in affordability.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“buyers seem to be adjusting to higher mortgage rates… as they consider the costs of renting.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“the supply of existing homes for sale is incredibly constrained… no signs of excess inventory in any of our markets.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“things have normalized and we're really not seeing unusual cancellation activities anywhere.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“we've been able to recapture about 90 days on average.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“We also had success reducing direct construction cost in the second quarter.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“With the visibility provided from our backlog, we now expect to earn approximately $4 per share in fiscal 2023.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“Average sales price should remain around $510,000.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}]"
B,,2024,2,mid_cycle,stable,stable,stable,unclear,improving,unclear,deteriorating,improving,stable,improving,raise,medium,"[""Mortgage rates up post-quarter (~50 bps) further straining affordability; expectation of greater spec preference if persists"", ""Intentional acceleration to transition away from STAR/PLUS to higher-margin READY series; near-term (Q3) margin pressure with Q4 rebound expected"", ""Community count growing (145 active vs 121 YoY) with continued heavy land spend and substantial lot control via options"", ""Raised full-year deliveries expectation (now >4,750) supported by backlog/production universe""]","[{""quote"": ""New orders were up 10% from the prior year as we generated a pace just over three sales per community per month."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Since the end of the quarter, rates have moved nearly 50 basis points, further straining affordability."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We've been encouraging our teams to be very competitive with pricing and incentives on our earlier STAR and PLUS series homes."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Margins will be down sequentially... more so from our efforts to move through our older series homes."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We expect margins to rise in the fourth quarter as our mix of closings shifts strongly toward READY series homes."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We ended the quarter with 145 active communities... and 121 a year ago."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""We spent nearly $200 million in the quarter... on track for full fiscal year spending of at least $750 million."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""More than half of our total lots are controlled through options, a ratio we expect to sustain."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""We now expect to deliver over 4,750 homes, reflecting more than 10% annual growth."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""The number hasn't moved too significantly... it really didn't move much in the second quarter."", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""Cycle times are dramatically different than they were over the last couple of years."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}]"
B,,2025,2,late_cycle_slowdown,deteriorating,unclear,unclear,unclear,unclear,unclear,deteriorating,improving,improving,stable,cut,medium,"[""Management described a slower-than-anticipated selling environment and expects weaker sales pace to persist."", ""Affordability remains a key constraint; no assumed improvement in mortgage rates or sentiment."", ""Construction cycle times improving; labor availability loosening could be a cost tailwind."", ""Shift in capital allocation to prioritize share repurchases; reduced FY land spend guidance while still growing lot count."", ""FY sales pace outlook reduced to 2.25–2.5 per month (below historical norms); gross margin guided ~18.5% with slight sequential improvement expectations.""]","[{""quote"": ""\""the second quarter was also characterized by a slower-than-anticipated selling environment\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""we're not expecting any improvement in mortgage rates or consumer sentiment\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""we now expect our sales pace to remain between 2.25 and 2.5 per month\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""ongoing challenges with affordability, weakening consumer sentiment\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""affordability is a constraint\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""improving construction cycle times\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""Plenty of availability across trades\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""updating our outlook for the full year\"" ... \""with a weaker than previously anticipated sales pace expected to persist\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""reducing our expectations for full year land spending to a range of $750 million to $800 million\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""we still expect to end the year with about 30,000 lots\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""70% of our sales in Q2 were spec homes\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""we have seen more buyers opting for... rate buydowns\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}]"
B,,2023,3,reacceleration,improving,improving,improving,unclear,unclear,unclear,deteriorating,improving,improving,improving,raise,medium,"[""Orders/sales pace accelerated materially vs. prior year; management described demand returning to more normal levels since January"", ""Reduced incentive intensity contributed to better-than-expected gross margin"", ""Construction cycle times continued to recover; improved backlog conversion expectations"", ""Input costs: lumber deflation helped; other category savings less certain as starts rebounded; constrained categories improving delivery times"", ""Land/lot position and targeted community count growth increased; management expects lots to grow materially over next few years"", ""Raised FY23 EBITDA/EPS expectations based on Q3 performance""]","[{""quote"": ""\""continued strength in new home orders\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""pace of 3.2 homes per community per month, up nearly 30% from the prior year\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""Then in January, demand returned to more normal levels, even though affordability was still strained.\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""Homebuilding gross margins were also better than anticipated as we needed fewer incentives\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""expectations. We anticipate our sales pace to be approximately 2.7 homes per community per month, or up about 40%\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""cycle times... were down about 40 days versus last quarter\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""reduction in lumber costs\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""expectations for significant savings from other categories have been tempered\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""some of the most constrained product categories, like appliances and garage doors, are back to normal delivery times\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""we now expect to generate more than $250 million of EBITDA\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""\""You should expect our lot count over the next couple of years we'll get to 30,000 and beyond.\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""we have good visibility into community count growth for the next 18 months.\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}]"
B,,2024,3,late_cycle_slowdown,deteriorating,stable,stable,unclear,deteriorating,unclear,deteriorating,improving,unclear,improving,cut,medium,"[""Sales pace below expectations (2.4 vs expectation; weakness concentrated in Houston/San Antonio)."", ""Company chose not to chase volume with higher incentives in weak TX markets; incentive posture largely unchanged."", ""FY24 EBITDA guidance reduced vs prior quarter due to weaker sales."", ""Community count and lot pipeline expanding materially; optioned lots increasing."", ""Cycle times improving, helping ability to start/close more homes within FY25 despite lower starting backlog.""]","[{""quote"": ""“Despite the continuing challenges presented by an affordability constrained market… our new home orders were softer than we had anticipated.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“Our pace of 2.4 sales per community per month was below our expectations.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“Many prospective buyers struggle to qualify for a mortgage and others… chose to defer their purchase.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“While we might have achieved higher sales with more aggressive incentives… we chose not to chase volume.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“We didn’t make any big shift to our incentive approach to achieve these results.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""“Our guidance for the fourth quarter contemplates no improvement in the macro… environment.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“We now expect full year adjusted EBITDA of about $230 million… down from our guidance last quarter.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“Our fourth quarter guidance implies backlog entering fiscal year 2025 will be down year-over-year.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“We’ve seen continuing cycle time improvement.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""“We now have more than 28,000 lots… up 25% from last year.”"", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""“Our option percentage was nearly 55%, up sequentially.”"", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}]"
B,,2025,3,late_cycle_slowdown,deteriorating,deteriorating,deteriorating,stable,unclear,deteriorating,deteriorating,improving,improving,stable,reaffirm,medium,"[""Sales environment weaker than expected; Texas notably soft with elevated market inventory."", ""Affordability and higher inventories pressured traffic and conversion; demand described as inelastic to price cuts."", ""Incentives increased and spec mix elevated; margins held ~18% due to newer community mix and cost reductions."", ""Builders (including BZH) reducing starts; expects new home inventories to be absorbed over coming quarters."", ""Active actions to protect 2026 profitability: renegotiating land/trade/material contracts; slowing land spend; more land sales."", ""Cycle times improving toward pre-COVID with potential further gains in 2026."", ""Modest impairments tied to increased price sensitivity (Phoenix Maricopa) and challenged Florida condo market.""]","[{""quote"": ""\""Despite a particularly challenging sales environment in the third quarter\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""affordability concerns and rising new and used home inventories impacted both traffic and sales conversion\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""our pace was disappointing at 1.3 sales per community per month\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""builders who have reduced home sizes... have exceeded our sales paces this year\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""You can't fix confidence with price.\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""as margins on our newer homes overcame higher incentives and an elevated spec mix\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""we've been talking about... spec count as a percentage being around high 60s\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""cancellation rates... typically are between 15% and 20%. They're on the high end of that.\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""we're in the midst of a broad effort to renegotiate contracts... for land, labor and materials\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""\""start activity... is... down year-over-year\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""I think over the next few months, we're going to see the new home inventories compress\"""", ""speaker"": ""David Ira Goldberg"", ""section"": ""qa""}, {""quote"": ""\""We're a couple of weeks away from being back to where we were in 2019.\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""\""we're deliberately slowing land spend\"""", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}]"
B,,2023,4,mid_cycle,unclear,stable,deteriorating,stable,unclear,deteriorating,deteriorating,improving,improving,improving,reaffirm,medium,"[""Incentive intensity rose as mortgage rates moved higher (higher closing cost contributions)."", ""Traffic/sales were negatively impacted during the 8% mortgage-rate spike; activity improved as rates eased recently."", ""Construction cycle times improved materially (reclaimed ~2 months) with further improvement targeted in FY24."", ""Cost tailwinds in FY23 (notably lumber) supported sequential margin improvement despite affordability-driven product/feature changes."", ""Land/community growth positioning: higher land spend, more lots controlled, community count expected to grow each quarter in FY24 with line-of-sight to >200 communities by FY26.""]","[{""quote"": ""As the 30-year mortgage rate moved...to just over 8% in October, our contribution towards closing costs increased about 1 point on new sales."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""That run up to 8% affected traffic and it affected sales."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""What's happened in the last 10 days has definitely stimulated a level of activity..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""qa""}, {""quote"": ""We reclaimed more than two months of construction cycle time."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""In fiscal year 2024, we expect further improvements as we drive cycle times closer to pre-pandemic levels."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""Significant savings...primarily through lower lumber costs."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""We invested almost $600 million in land and land development..."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""...grow our controlled lot position, both sequentially and year-over-year, while also increasing our percentage of lots controlled under option."", ""speaker"": ""David Ira Goldberg"", ""section"": ""prepared""}, {""quote"": ""We expect year-over-year growth in our active community count each quarter."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}, {""quote"": ""Affordability has been, is and is likely to remain the central challenge for new home sales."", ""speaker"": ""Allan P. Merrill"", ""section"": ""prepared""}]"
